작목,열량(kcal)(1회제공량당),총내용량(g)
밀,334,100
쌈추,20,100
쑥,37,100
바나나,84,100
배,46,100
버찌,60,100
복숭아,48,100
보리,352,100
쑥갓,15,100
쑥부쟁이,26,100
씀바귀,43,100
아스파라거스,21,100
아욱,37,100
블랙베리,43,100
블랙커런트,63,100
블루베리,48,100
비파,45,100
고구마,23,100
고들빼기,29,100
고려엉겅퀴(곤드레),32,100
고비,28,100
부추,30,100
브로콜리,32,100
수수,374,100
고사리,22,100
고수(향채),33,100
고추,29,100
사과,56,100
산딸기,55,100
산수유,112,100
살구,30,100
석류,77,100
소귀나무 열매,24,100
수박,31,100
옥수수,109,100
비름,23,100
비타민채(다채),14,100
비타민채,54,100
비트,16,100
산자나무 열매(씨벅톤),70,100
아떼모야,73,100
아로니아,60,100
아보카도,187,100
아세로라,36,100
애플수박,40,100
앵두,61,100
엘더베리,73,100
오디,56,100
오렴자(카람볼라),30,100
오미자,81,100
용과,44,100
사탕무,77,100
사탕수수,77,100
산마늘(명이나물),36,100
삼붕냐와,27,100
삼채,23,100
율무,377,100
삽주나물,52,100
유자,40,100
으름,158,100
자두,26,100
자몽(그레이프프루트),32,100
잭프루트,95,100
참외,47,100
체리,67,100
상추,14,100
생강,42,100
선인장,51,100
칼슘나무 열매,50,100
크랜베리,46,100
키위,64,100
탱자,84,100
파인애플,53,100
파파야,38,100
백향과(패션프루트),100,100
섬초롱,41,100
세발나물,18,100
셀러리,17,100
솔장다리,31,100
쇠귀나물,126,100
수리취(떡취),64,100
숙주나물,13,100
순무,27,100
잡곡,358,100
멥쌀,363,100
포도,68,100
플럼코트,47,100
스테비아,40,100
시금치,33,100
신선초(명일엽),24,100
아주까리,82,100
아티초크,47,100
알로에,3,100
알팔파,21,100
양배추,33,100
양상추,18,100
양파,27,100
고춧잎,45,100
고추냉이,103,100
곤달비,42,100
강낭콩,172,100
곰취,32,100
공심채,17,100
꾸지뽕,85,100
구기자,50,100
국화꽃,27,100
근대,18,100
완두,114,100
작두(도두),125,100
잠두,341,100
양하,13,100
어수리,31,100
얼갈이배추,14,100
음나무(엄나무,41,100
여주(고야),22,100
연근,75,100
열대비름(아마란스),45,100
열무,14,100
염교(락교),118,100
영아자,34,100
오이,13,100
오크라,30,100
왕호장잎,79,100
우엉,69,100
울금,87,100
원추리,35,100
도토리,230,100
유채,78,100
잇꽃(홍화),45,100
비비추(이밥추),48,100
자운영,40,100
잔대,79,100
적하수오잎,35,100
전호,23,100
제비쑥,35,100
조뱅이,47,100
좀홍당무,18,100
죽순,24,100
조,373,100
찹쌀,377,100
마가목 열매,115,100
마름,190,100
머루씨,282,100
밤,151,100
진달래꽃,26,100
질경이,48,100
참나물,39,100
참빗살나무,61,100
참죽나물,46,100
청경채,10,100
초석잠,76,100
총각무,22,100
취나물,53,100
치커리,14,100
칠면초,27,100
케일,26,100
콜라비,22,100
콩나물,36,100
콩잎,94,100
털머위,51,100
토란대,16,100
토마토,19,100
토스카노(잎브로콜리),40,100
퉁퉁마디(함초),19,100
파,29,100
파드득나물(삼엽채),25,100
파슬리,36,100
파프리카,24,100
피망,28,100
해바라기,9,100
호박,38,100
메밀 국수,291,100
홑잎나물,96,100
연씨,85,100
은행,203,100
메밀묵,58,100
피,376,100
호밀,334,100
귀리,373,100
기장,360,100
가시오갈피,76,100
가죽나물,50,100
가지,19,100
뽕잎,65,100
부지갱이(섬쑥부쟁이),30,100
감,63,100
구아바,38,100
구즈베리,52,100
금귤,73,100
갓,36,100
갯기름나물,41,100
국수,291,100
게걸무,59,100
겨자,24,100
다래,67,100
대추,105,100
두리안,133,100
딸기,36,100
라임,30,100
라즈베리,52,100
레몬,28,100
롱안,60,100
리치,63,100
망고,61,100
망고스틴,67,100
매실,41,100
멜론,21,100
모과,78,100
무화과,54,100
메밀,363,100
꿀풀(하고초),48,100
날개콩,36,100
냉이,41,100
넘취,35,100
녹색완두,93,100
누룩치,72,100
누리장나무잎,65,100
는쟁이냉이,28,100
달래,28,100
당귀,70,100
당근,31,100
더덕,89,100
도라지,56,100
돌나물,15,100
동아,12,100
두릅,33,100
둥글레,52,100
들깨,17,100
들깻잎,47,100
로카,17,100
루꼴라,25,100
리크,54,100
마늘,124,100
풋마늘,29,100
마늘종,45,100
마타리,45,100
머위,17,100
모링가(드럼스틱),66,100
모시풀,64,100
무,21,100
무청,22,100
물냉이,23,100
물쑥,36,100
미나리,21,100
미니파프리카,38,100
민들레,29,100
바젤라,13,100
박,21,100
박쥐나무,100,100
방가지똥,46,100
배암차즈기(곰보배추),25,100
바질잎,32,100
배초향,55,100
배추,15,100
귤,39,100
머루,79,100
방울다다기양배추,49,100
동부,166,100
복분자,88,100
오렌지,47,100
잣,630,100
백모근,138,100
백합,118,100
버드장이,38,100
꽃양배추(콜리플라워),27,100
무순,20,100
