year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2020, 1, 1, 4.3, -0.5, -6.4, 62.3, 1.2, 2.7, 0.0, 0.0, 5.6
2020, 1, 2, 6.5, 1.4, -3.0, 71.1, 1.4, 2.7, 0.0, 0.0, 5.6
2020, 1, 3, 7.6, 2.6, -0.5, 74.4, 1.2, 4.9, 0.0, 0.0, 2.6
2020, 1, 4, 7.7, 2.0, -2.6, 77.3, 1.1, 4.5, 0.0, 0.0, 3.1
2020, 1, 5, 8.6, 2.5, -3.2, 62.4, 1.2, 7.4, 0.0, 0.0, 3.1
2020, 1, 6, 9.1, 5.9, 1.3, 85.4, 1.5, 0.0, 12.2, 0.0, 10.0
2020, 1, 7, 16.4, 12.4, 9.0, 92.9, 2.4, 0.0, 50.2, 0.0, 10.0
2020, 1, 8, 11.1, 4.4, 3.3, 87.1, 4.5, 0.0, 5.2, 0.0, 9.9
2020, 1, 9, 5.2, 2.0, -1.6, 69.9, 1.7, 7.2, 0.0, 0.0, 5.5
2020, 1, 10, 6.3, 0.9, -3.1, 74.6, 0.9, 6.9, 0.0, 0.0, 4.1
2020, 1, 11, 7.7, 2.5, -1.8, 65.0, 1.5, 7.2, 0.0, 0.0, 6.1
2020, 1, 12, 4.1, 2.3, 0.7, 63.3, 1.6, 0.2, 0.0, 0.0, 8.5
2020, 1, 13, 4.8, 1.2, -1.4, 62.5, 2.3, 4.0, 0.0, 0.0, 6.3
2020, 1, 14, 5.3, 1.4, -1.3, 54.1, 1.6, 6.0, 0.0, 0.0, 6.6
2020, 1, 15, 4.6, 0.4, -1.4, 59.1, 1.3, 5.6, 0.0, 0.0, 4.5
2020, 1, 16, 5.2, 0.4, -3.7, 53.6, 1.2, 6.5, 0.0, 0.0, 5.9
2020, 1, 17, 5.6, 1.0, -1.7, 54.3, 0.9, 6.2, 0.0, 0.0, 4.3
2020, 1, 18, 6.7, 0.7, -4.0, 63.6, 1.4, 9.1, 0.0, 0.0, 1.3
2020, 1, 19, 7.4, 3.2, -1.3, 68.0, 1.9, 1.4, 0.0, 0.0, 6.6
2020, 1, 20, 8.0, 3.5, -0.3, 61.1, 2.1, 5.0, 0.0, 0.0, 4.6
2020, 1, 21, 7.8, 1.5, -4.3, 47.9, 1.1, 9.5, 0.0, 0.0, 2.0
2020, 1, 22, 4.8, 3.5, 0.9, 74.6, 0.5, 0.0, 1.5, 0.0, 9.9
2020, 1, 23, 12.4, 6.3, 3.4, 72.0, 1.1, 4.3, 3.4, 0.0, 7.9
2020, 1, 24, 10.6, 4.9, 0.5, 68.6, 0.9, 8.0, 0.0, 0.0, 5.4
2020, 1, 25, 8.8, 4.9, 1.0, 74.3, 0.6, 0.0, 0.0, 0.0, 9.0
2020, 1, 26, 11.9, 7.1, 1.4, 67.4, 1.3, 3.2, 0.0, 0.0, 8.8
2020, 1, 27, 9.7, 6.1, 3.8, 78.8, 2.9, 0.0, 3.5, 0.0, 10.0
2020, 1, 28, 11.1, 6.8, 3.2, 76.4, 1.1, 0.1, 0.1, 0.0, 8.8
2020, 1, 29, 10.4, 6.7, 4.9, 79.0, 1.1, 0.4, 0.7, 0.0, 9.1
2020, 1, 30, 9.4, 5.1, 2.2, 76.6, 1.3, 3.8, 0.0, 0.0, 6.3
2020, 1, 31, 8.8, 4.2, 1.8, 68.3, 1.6, 5.4, 0.0, 0.0, 5.6
2020, 2, 1, 8.7, 3.6, -1.3, 72.5, 1.5, 2.8, 0.0, 0.0, 4.3
2020, 2, 2, 7.4, 2.5, -1.1, 68.6, 1.2, 7.8, 0.0, 0.0, 2.9
2020, 2, 3, 6.8, 1.5, -1.6, 63.3, 2.1, 7.1, 0.0, 0.0, 4.9
2020, 2, 4, 6.4, 0.7, -4.8, 57.4, 1.2, 9.5, 0.1, 0.0, 1.9
2020, 2, 5, 1.0, -3.7, -6.9, 50.3, 3.0, 9.8, 0.4, 0.6, 0.9
2020, 2, 6, 0.5, -4.1, -9.2, 45.0, 1.2, 8.6, 0.0, 0.0, 4.3
2020, 2, 7, 4.1, -0.3, -6.2, 53.5, 1.3, 8.2, 0.0, 0.0, 5.1
2020, 2, 8, 6.7, 2.0, -1.0, 55.9, 1.9, 7.3, 0.0, 0.0, 4.1
2020, 2, 9, 5.5, 0.3, -4.4, 58.6, 1.9, 9.8, 0.0, 0.0, 0.1
2020, 2, 10, 11.8, 5.0, -1.5, 53.6, 1.5, 8.8, 0.0, 0.0, 3.1
2020, 2, 11, 15.4, 8.4, 0.9, 44.4, 1.3, 7.7, 0.0, 0.0, 5.4
2020, 2, 12, 12.3, 9.5, 7.3, 87.1, 1.7, 0.0, 7.0, 0.0, 10.0
2020, 2, 13, 9.2, 7.4, 4.9, 89.0, 1.3, 0.0, 0.3, 0.0, 9.1
2020, 2, 14, 16.2, 8.9, 3.8, 76.6, 1.0, 7.0, 0.0, 0.0, 5.5
2020, 2, 15, 18.7, 10.6, 4.6, 65.8, 1.5, 4.4, 0.9, 0.0, 7.8
2020, 2, 16, 5.8, 0.9, -1.8, 84.5, 4.1, 1.1, 10.3, 2.9, 9.4
2020, 2, 17, -1.3, -3.0, -4.6, 84.5, 3.1, 1.6, 5.2, 10.4, 8.8
2020, 2, 18, 3.3, -1.3, -5.3, 61.4, 1.3, 10.1, 0.0, 4.6, 2.1
2020, 2, 19, 9.8, 2.9, -3.9, 67.8, 1.4, 8.4, 0.0, 0.0, 5.9
2020, 2, 20, 12.5, 5.9, -0.1, 69.9, 1.3, 9.8, 0.0, 0.0, 1.9
2020, 2, 21, 16.8, 9.2, 2.0, 63.8, 1.5, 7.7, 1.9, 0.0, 7.3
2020, 2, 22, 10.6, 6.1, 2.3, 65.1, 3.5, 6.5, 4.0, 0.0, 5.0
2020, 2, 23, 9.0, 3.7, -1.2, 53.0, 1.4, 10.5, 0.0, 0.0, 0.3
2020, 2, 24, 16.1, 8.8, -0.2, 49.6, 1.4, 8.9, 0.1, 0.0, 4.5
2020, 2, 25, 10.4, 8.5, 7.9, 94.9, 1.1, 0.0, 32.4, 0.0, 10.0
2020, 2, 26, 14.0, 8.1, 3.7, 75.5, 1.8, 6.4, 0.0, 0.0, 5.1
2020, 2, 27, 12.3, 6.5, 1.5, 70.0, 1.1, 9.8, 0.0, 0.0, 2.5
2020, 2, 28, 7.4, 6.0, 4.8, 78.9, 1.8, 0.3, 3.3, 0.0, 8.6
2020, 2, 29, 14.0, 7.7, 2.8, 74.4, 1.2, 5.4, 0.0, 0.0, 4.1
2020, 3, 1, 8.5, 5.6, 4.0, 81.0, 1.5, 0.0, 0.0, 0.0, 7.9
2020, 3, 2, 9.6, 4.9, 1.8, 60.1, 2.1, 9.8, 0.0, 0.0, 3.9
2020, 3, 3, 15.5, 6.8, 0.9, 65.4, 1.6, 8.6, 0.0, 0.0, 6.4
2020, 3, 4, 7.8, 3.8, -0.2, 63.3, 3.7, 7.3, 0.0, 0.0, 6.8
2020, 3, 5, 8.2, 2.6, -1.2, 56.3, 1.8, 10.6, 0.0, 0.0, 0.0
2020, 3, 6, 12.4, 4.5, -3.0, 49.1, 1.3, 10.9, 0.0, 0.0, 2.6
2020, 3, 7, 12.7, 7.0, 3.2, 69.9, 1.0, 0.6, 1.0, 0.0, 7.3
2020, 3, 8, 18.6, 9.1, 2.3, 66.6, 1.2, 10.0, 0.0, 0.0, 2.5
2020, 3, 9, 14.7, 9.4, 3.7, 68.9, 1.1, 2.0, 0.9, 0.0, 8.9
2020, 3, 10, 9.8, 6.4, 3.9, 84.4, 2.8, 0.0, 8.3, 0.0, 7.4
2020, 3, 11, 9.1, 4.6, 1.3, 51.6, 3.0, 11.0, 0.0, 0.0, 0.0
2020, 3, 12, 16.7, 7.0, -0.9, 51.9, 1.8, 10.6, 0.0, 0.0, 1.4
2020, 3, 13, 13.5, 6.4, 2.0, 54.8, 2.2, 7.0, 0.0, 0.0, 6.1
2020, 3, 14, 9.7, 5.0, -0.9, 53.3, 2.3, 11.1, 0.0, 0.0, 1.5
2020, 3, 15, 13.0, 6.0, 1.6, 51.1, 4.2, 8.8, 0.0, 0.0, 4.0
2020, 3, 16, 11.3, 4.5, -0.8, 50.9, 1.7, 11.0, 0.0, 0.0, 1.6
2020, 3, 17, 15.7, 8.3, 0.7, 65.6, 2.8, 9.1, 0.0, 0.0, 3.8
2020, 3, 18, 20.1, 12.1, 3.4, 50.9, 1.4, 11.3, 0.0, 0.0, 0.0
2020, 3, 19, 16.1, 10.3, 6.6, 52.9, 5.1, 8.0, 0.0, 0.0, 2.8
2020, 3, 20, 15.9, 9.7, 3.9, 44.0, 2.1, 11.0, 0.0, 0.0, 0.0
2020, 3, 21, 23.7, 15.0, 7.1, 50.8, 1.7, 9.3, 0.0, 0.0, 1.8
2020, 3, 22, 21.1, 13.4, 7.8, 54.1, 2.2, 10.8, 0.0, 0.0, 2.3
2020, 3, 23, 16.0, 9.3, 3.3, 60.4, 2.0, 11.5, 0.0, 0.0, 0.0
2020, 3, 24, 19.1, 10.2, 3.3, 58.5, 1.3, 11.1, 0.0, 0.0, 0.0
2020, 3, 25, 23.3, 14.7, 6.7, 47.3, 1.4, 10.5, 0.0, 0.0, 3.5
2020, 3, 26, 17.0, 15.2, 12.3, 73.4, 1.7, 0.0, 1.5, 0.0, 10.0
2020, 3, 27, 15.6, 9.9, 5.0, 85.1, 2.2, 3.3, 13.7, 0.0, 7.8
2020, 3, 28, 11.6, 7.2, 3.4, 50.3, 1.8, 1.1, 0.0, 0.0, 8.3
2020, 3, 29, 15.9, 8.1, 0.7, 53.4, 1.4, 8.5, 0.0, 0.0, 4.5
2020, 3, 30, 17.5, 10.8, 6.7, 54.0, 1.4, 9.8, 0.0, 0.0, 5.3
2020, 3, 31, 19.5, 11.2, 4.3, 51.4, 1.4, 11.4, 0.0, 0.0, 4.5
2020, 4, 1, 17.2, 9.8, 5.9, 57.9, 2.4, 7.5, 0.0, 0.0, 4.6
2020, 4, 2, 17.2, 9.4, 2.6, 54.0, 1.5, 10.6, 0.0, 0.0, 1.9
