year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2015, 1, 1, -3.4, -6.4, -8.5, 42.8, 3.6, 8.5, 0.0, 0.0, 1.1
2015, 1, 2, -0.5, -4.6, -8.3, 45.4, 2.2, 8.5, 0.0, 0.0, 2.1
2015, 1, 3, 2.4, -2.6, -9.9, 59.6, 1.2, 7.4, 0.0, 0.0, 5.0
2015, 1, 4, 8.5, 2.1, -2.1, 74.1, 1.1, 4.7, 0.0, 0.0, 4.6
2015, 1, 5, 9.3, 3.6, -2.9, 80.1, 1.1, 4.6, 2.0, 0.0, 7.0
2015, 1, 6, 4.2, -1.5, -6.1, 53.5, 3.4, 8.9, 2.4, 0.0, 3.0
2015, 1, 7, 0.2, -4.2, -6.9, 33.5, 2.5, 8.8, 0.0, 0.0, 0.9
2015, 1, 8, 0.8, -4.7, -10.2, 55.4, 1.3, 9.2, 0.0, 0.0, 0.0
2015, 1, 9, 3.3, -2.7, -8.1, 71.6, 1.1, 5.1, 0.0, 0.0, 1.4
2015, 1, 10, 5.8, -0.7, -6.8, 70.8, 1.3, 9.0, 0.0, 0.0, 0.5
2015, 1, 11, 3.6, -0.3, -2.9, 60.1, 2.8, 9.0, 0.0, 0.0, 2.1
2015, 1, 12, 3.9, -2.3, -7.3, 45.1, 1.3, 9.1, 0.0, 0.0, 0.0
2015, 1, 13, 6.7, 0.0, -7.1, 54.0, 0.7, 7.0, 0.0, 0.0, 5.4
2015, 1, 14, 7.6, 3.0, -0.6, 49.6, 0.8, 0.8, 0.0, 0.0, 9.5
2015, 1, 15, 9.2, 2.8, -0.9, 60.8, 1.2, 6.9, 0.0, 0.0, 2.6
2015, 1, 16, 3.7, 0.9, -1.5, 79.6, 2.6, 0.8, 0.8, 0.0, 8.9
2015, 1, 17, 0.5, -3.6, -6.4, 52.0, 2.7, 9.5, 0.0, 0.0, 1.0
2015, 1, 18, 3.1, -1.1, -7.1, 78.0, 1.7, 1.9, 4.7, 3.0, 7.8
2015, 1, 19, 4.6, 0.9, -2.6, 70.5, 2.5, 7.4, 0.5, 0.0, 2.0
2015, 1, 20, 5.6, -0.1, -6.1, 62.1, 0.9, 7.7, 0.0, 0.0, 4.5
2015, 1, 21, 7.6, 3.3, -1.3, 67.1, 1.1, 0.7, 0.8, 0.0, 8.9
2015, 1, 22, 8.3, 2.8, -0.9, 80.5, 1.1, 1.3, 0.0, 0.0, 7.4
2015, 1, 23, 4.9, 1.1, -2.3, 81.0, 1.3, 1.7, 0.0, 0.0, 6.0
2015, 1, 24, 8.9, 3.1, 0.2, 71.1, 1.1, 5.9, 0.0, 0.0, 6.4
2015, 1, 25, 5.5, 3.4, -0.4, 84.1, 2.2, 0.0, 5.5, 0.0, 9.1
