fid,DOI,저자,연도,제목,데이터베이스,검토자1,검토자2,마지막검토일,중복여부,포함여부,배제사유키워드,배제사유내용,다음단계여부
1,10.1016/j.uclim.2025.102662,"Sojib, M.R.H.|Hossain, M.M.|Khan, M.A.-A.|Baten, M.A.|Khan, M.B.|Tanzia, F.K.S.|Hasan, M.",2025,"Land use land cover transformation and seasonal variations in land surface temperature with environmental implications in Gazipur Sadar Upazila, Bangladesh",Scopus,,,,N,Y,N/A,N/A,진행
2,10.1016/j.buildenv.2025.113745,"Wu, Z.|Qiu, Y.|Ren, Y.",2025,Pervious surface fraction threshold and quantile-based optimization: A novel framework for heat mitigation in high-density urban areas,Scopus,,,,N,Y,N/A,N/A,진행
3,10.1016/j.landurbplan.2025.105490,"Xiao, S.|He, J.|Yao, Y.|Liang, X.|Li, X.",2025,Optimizing urban three-dimensional landscapes in potential development areas to mitigate urban heat island effect under shared socioeconomic pathways,Scopus,,,,N,Y,N/A,N/A,진행
4,10.1007/s10722-025-02578-7,"Rahim, N.H.|Abdul Razak, S.A.|Fong, C.S.|Xue, C.|Hasikin, K.|Rohman, F.|Hamzah, S.N.|Yaseen, T.|Kaplan, A.|Khan, M.N.|Ercıslı, S.",2025,"Climate mitigation through urban forests: ecosystem services and species diversity in Rimba Ilmu, Universiti Malaya, Malaysia",Scopus,,,,N,N,열환경 지표 부재(탄소격리·유출저감 중심),도시지역과 녹지 구성 연구는 맞으나 결과변수는 탄소격리와 우수유출 저감 등으로 도시 온열환경 지표를 다루지 않아 포함 기준 미충족,배제
5,10.1016/j.cities.2025.106332,"Eliades, N.-G.H.|Kefalas, G.|Lorilla, R.S.",2025,An integrated approach for enhancing the planning perspective of peri-urban and urban green spaces: The case of the Limassol Metropolitan Area in Cyprus,Scopus,,,,N,Y,N/A,N/A,진행
6,10.1016/j.scs.2025.106951,"Tian, P.|Yan, Y.|Li, J.|Zhang, H.|Liu, Y.|Ying, C.",2025,Assessing compound exposure of vulnerable populations under dual inequality of urban heatwaves and green space,Scopus,,,,N,Y,N/A,N/A,진행
7,10.1016/j.scs.2025.106897,"Tahooni, A.|Kakroodi, A.A.|Kiavarz, M.|Mansourian, H.",2025,High-resolution urban LST downscaling via machine learning and SHAP: A case study in a rapidly urbanizing semi-arid region,Scopus,,,,N,N,녹지형태/구성 주제 아님,도시 지역과 LST 온열지표는 다루지만 연구의 핵심은 ML 기반 다운스케일링 및 SHAP 해석으로 녹지 형태 또는 구성 변수를 주제로 한 분석이 아님 NDVI 등은 보조 변수로만 사용,배제
8,10.1007/s41062-025-02334-x,"Goyal, K.|Biswas, R.",2025,Suitability analysis for Blue Green Infrastructure in urban area: Delhi,Scopus,,,,N,N,열지표부재; BGI 적합성,도시 지역을 대상으로 하나 주제는 블루그린 인프라 적합성 분석이며 결과변수는 적합도 지도여서 도시 온열환경 지표를 측정 또는 분석하지 않음,배제
9,10.1016/j.ufug.2025.129092,"Horanyi, A.M.|Thorn, J.P.R.",2025,"Spatial distribution, determinants, and implementation barriers of green-blue-grey infrastructure-based urban heat island mitigation strategies in Budapest, Hungary",Scopus,,,,N,Y,N/A,N/A,진행
10,10.1016/j.jag.2025.104888,"Yang, C.|Wang, H.|Ren, Z.|Zhou, W.",2025,Strengthening or weakening? Multi-year quantification and comparison of urban green space cooling effects and their key 2D/3D drivers,Scopus,,,,N,Y,N/A,N/A,진행
11,10.1016/j.jenvman.2025.127369,"Qin, J.|Wang, Q.|Li, W.",2025,Incorporating regional green spaces into greenspace exposure assessment: A nationwide study of 244 Chinese cities,Scopus,,,,N,N,결과변수 비해당(열지표 미주요),도시와 녹지를 다루지만 주된 결과는 녹지노출지수(GE)이며 도시 온열환경 지표를 결과로 평가하지 않음(LST는 상관분석의 보조 변수),배제
12,10.1016/j.ufug.2025.129038,"Zhou, W.|Jia, S.|Wang, Y.",2025,Greenery for regulating outdoor thermal comfort in various urban environments of a humid-subtropical climate under extreme heat conditions,Scopus,,,,N,Y,N/A,N/A,진행
13,10.1016/j.ufug.2025.129019,"Seo, J.|Park, J.",2025,"Spatiotemporal analysis of interactions between building configuration and urban green space on outdoor air temperature during heat waves: IoT sensor-based insights from Seoul, South Korea",Scopus,,,,N,Y,N/A,N/A,진행
14,10.1016/j.envres.2025.122278,"Del Rosario, L.|Astell–burt, T.|Olsen, J.R.|Thompson, S.|Mitchell, R.|Feng, X.",2025,Walkable by nature? Adding green and blue space to walkability indices and assessment of socioeconomic inequalities,Scopus,,,,N,N,도시열지표아님,"도시지역과 녹지/청색공간 변수를 다루지만 결과변수는 보행가능성과 사회경제적 불평등으로, 지표온도·열섬강도·열쾌적성 등 도시 온열환경 지표를 측정하지 않음",배제
15,10.1016/j.landurbplan.2025.105420,"Yao, X.|Kim, M.|Dronova, I.|McBride, J.R.|Kondolf, G.M.|Radke, J.D.",2025,Community-scale microclimate simulation using Airborne Laser Scanning and object-based urban tree classification,Scopus,,,,N,Y,N/A,N/A,진행
16,10.1007/s41207-025-00746-w,"Votsi, N.|Papangelis, G.|Varotsos, K.V.|Athanasopoulou, E.|Koutsantoni, P.|Karali, A.|Karagianis, D.|Sismanidis, P.|Kiranoudis, C.T.|Keramitsoglou, I.|Giannakopoulos, C.|Gerasopoulos, E.",2025,"A multi-faceted, integrated methodological approach to identify hotspots of combined urban environmental pressures in the climate change context",Scopus,,,,N,Y,N/A,N/A,진행
17,10.1177/23998083241311068,"Merdymshaeva, E.|Mora, S.|Machida, Y.|Zhang, F.|Duarte, F.|Paul, S.|Ratti, C.|Mörtberg, U.",2025,Assessing the impact of greenery on urban heat using opportunistic drive-by sensing,Scopus,,,,N,Y,N/A,N/A,진행
18,10.3390/land14101944,"Qin, J.|Zhang, Y.|Wang, J.",2025,Synergistic Response of Blue and Green Spaces as Urban Cooling Source to Extreme Heatwaves,Scopus,,,,N,Y,N/A,N/A,진행
19,10.1088/2515-7620/ae0f83,"Cheng, X.|Peng, J.|Li, W.|Dormann, C.F.|Liu, Y.|Dong, J.|Orth, R.",2025,Cooling efficiency of trees and short vegetation in large cities across the globe,Scopus,,,,N,Y,N/A,N/A,진행
20,10.1002/ece3.72300,"Zhang, X.|Zhao, J.|Yi, K.|Yuan, D.|Zhang, Z.",2025,Spatiotemporal Prediction of Ideal Butterfly Habitats in Kun-Ming's Urban Green Areas: Enabled by Maxent and ArcGIS,Scopus,,,,N,N,열환경지표아님;서식지적합도예측,도시와 녹지 맥락이나 결과변수는 도시 열환경 지표가 아니라 나비 서식지 적합도 예측이며 UHI는 배경 수준 언급일 뿐 측정 종속변수가 아님 따라서 제외,배제
21,10.3390/rs17193296,"García-Haro, A.|Arellano, B.|Roca, J.",2025,"Integrating Multi-Source Remote Sensing and Spatial Metrics to Quantify Urban Park Design Effects on Surface Cool Islands in Mexicali, Mexico",Scopus,,,,N,Y,N/A,N/A,진행
